PR100
39.580728,2.648289
24.8,-94.60
19.8,-97.20
17.4,-94.50
9.4,-100.70
14.0,-93.50
17.9,-100.70
28.5,-91.30
27.8,-89.70
22.6,-92.10
22.4,-93.30
22.3,-94.40
43.5,-102.40
345.2,-110.30
35.7,-109.00
59.2,-98.70
57.8,-94.80
60.6,-96.50
60.4,-101.20
53.9,-102.10
57.2,-91.40
68.0,-99.30
61.0,-95.50
31.0,-95.30
2.7,-93.80
45.4,-92.00
40.6,-91.60
62.5,-93.70
57.1,-97.70
50.5,-107.00
41.6,-96.00
33.1,-86.10
125.2,-92.40
135.3,-92.90
151.2,-82.50
110.4,-88.60
75.1,-89.80
359.4,-101.20
312.2,-94.90
282.6,-91.40
289.4,-86.30
219.3,-76.70
199.2,-82.80
194.3,-82.00
214.4,-81.70
236.5,-90.90
320.4,-120.80
26.6,-94.10
39.8,-89.20
3.0,-90.00
10.7,-94.10
5.2,-98.20
5.5,-91.60
2.8,-100.20
358.9,-86.70
10.5,-92.00
8.8,-92.80
11.4,-89.90
33.0,-91.70
