PR100
39.580681,2.648339
44.1,-84.40
42.7,-87.20
43.2,-88.00
43.7,-90.50
17.9,-93.70
348.2,-82.60
336.7,-88.60
289.5,-85.40
288.0,-85.50
287.7,-92.30
299.2,-81.90
226.6,-82.50
210.1,-82.50
197.6,-80.90
189.8,-78.40
210.0,-82.40
243.8,-80.90
275.5,-87.70
300.8,-97.00
316.1,-94.10
26.2,-99.30
16.3,-90.70
14.1,-91.10
358.3,-95.10
358.5,-91.40
50.2,-85.20
52.2,-80.30
45.3,-92.20
48.1,-82.40
46.4,-85.30
84.5,-82.20
117.9,-87.30
130.5,-89.10
131.2,-85.90
128.2,-94.30
117.4,-73.80
104.2,-86.20
78.7,-92.50
67.7,-94.70
34.0,-104.20
21.1,-95.90
22.5,-96.10
20.9,-89.60
20.2,-95.70
18.3,-95.30
